num,updated,inmbnum,inmbrank,overseasnum,overseasrank
1,2015-05-20,75,700,77,607
2,2015-06-05,126,675,202,588
3,2015-06-25,100,673,152,581
4,2015-07-17,111,670,105,578
5,2015-08-13,174,575,292,570
6,2015-09-09,125,550,361,562
7,2015-09-25,100,545,242,560
8,2015-10-13,100,506,272,558
9,2015-11-03,100,499,356,556
10,2015-11-27,125,698,477,553
11,2015-12-17,126,694,598,549
12,2016-01-13,150,692,390,548
13,2016-02-10,175,673,449,547
14,2016-03-09,175,657,452,545
15,2016-04-06,299,467,472,543
16,2016-05-16,150,722,206,569
17,2016-06-08,200,665,411,550
18,2016-06-29,173,593,378,547
19,2016-07-29,155,593,454,545
20,2016-08-24,176,592,538,543
21,2016-09-29,258,435,40,620
22,2016-10-28,150,654,26,712
23,2016-11-29,150,713,29,716
总:,飞出国,3473,435,6979,543
